analysis,seed,sigma,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
noise,4,0.1,cart_group_threshold,SAT,0.5511111111111111,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,4,0.1,cert_tree,SAT,0.6244444444444445,0.39545454545454545,0.4782608695652174,0.8268595041322314,0.3493975903614458,0.2926829268292683,0.05671466353217752,False
noise,4,0.2,cart,SAT,0.7844444444444445,0.08181818181818182,0.691304347826087,0.1183533447684391,0.030120481927710843,0.3780487804878049,0.34792829856009405,False
noise,4,0.2,cart_group_threshold,SAT,0.5511111111111111,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,4,0.2,cert_tree,SAT,0.6377777777777778,0.39545454545454545,0.4782608695652174,0.8268595041322314,0.3313253012048193,0.2926829268292683,0.038642374375551014,True
noise,4,0.3,cart,SAT,0.7866666666666666,0.12272727272727273,0.691304347826087,0.17753001715265865,0.060240963855421686,0.36585365853658536,0.3056126946811637,False
noise,4,0.3,cart_group_threshold,SAT,0.5511111111111111,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,4,0.3,cert_tree,SAT,0.6244444444444445,0.4090909090909091,0.4826086956521739,0.8476658476658477,0.3614457831325301,0.2926829268292683,0.06876285630326184,False
noise,4,0.4,cart,SAT,0.78,0.07727272727272727,0.6869565217391305,0.11248561565017261,0.030120481927710843,0.3780487804878049,0.34792829856009405,False
noise,4,0.4,cart_group_threshold,SAT,0.5511111111111111,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,4,0.4,cert_tree,SAT,0.6377777777777778,0.39545454545454545,0.5043478260869565,0.7840909090909091,0.3795180722891566,0.23170731707317074,0.14781075521598588,False
noise,5,0.0,cart,SAT,0.7933333333333333,0.15207373271889402,0.9055793991416309,0.16792976172275975,0.05917159763313609,0.7307692307692307,0.6715976331360947,False
noise,5,0.0,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,5,0.0,cert_tree,SAT,0.64,0.47465437788018433,0.5836909871244635,0.8131946326917864,0.41420118343195267,0.3717948717948718,0.04240631163708086,True
noise,5,0.05,cart,SAT,0.8,0.15668202764976957,0.9055793991416309,0.17301854238102518,0.05917159763313609,0.717948717948718,0.6587771203155819,False
noise,5,0.05,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,5,0.05,cert_tree,SAT,0.6377777777777778,0.47465437788018433,0.6051502145922747,0.7843579435892407,0.41420118343195267,0.41025641025641024,0.0039447731755424265,False
noise,5,0.1,cart,SAT,0.7955555555555556,0.16129032258064516,0.9098712446351931,0.17726719415702982,0.0650887573964497,0.7307692307692307,0.665680473372781,False
noise,5,0.1,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,5,0.1,cert_tree,SAT,0.6311111111111111,0.4976958525345622,0.5879828326180258,0.8464462309529416,0.44970414201183434,0.358974358974359,0.09072978303747536,False
noise,5,0.2,cart,SAT,0.7888888888888889,0.15207373271889402,0.8798283261802575,0.17284477913903565,0.05917159763313609,0.7051282051282052,0.6459566074950691,False
noise,5,0.2,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,5,0.2,cert_tree,SAT,0.6622222222222223,0.46543778801843316,0.6008583690987125,0.7746214614878209,0.40236686390532544,0.34615384615384615,0.0562130177514793,False
noise,5,0.3,cart,SAT,0.7688888888888888,0.20276497695852536,0.871244635193133,0.23273024448934193,0.11242603550295859,0.7051282051282052,0.5927021696252466,False
noise,5,0.3,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,5,0.3,cert_tree,SAT,0.6244444444444445,0.47465437788018433,0.5708154506437768,0.831537368767541,0.4437869822485207,0.3333333333333333,0.11045364891518739,False
